#Antibiotic_class	Aminocoumarin	Aminoglycoside	Beta-lactam	Bicyclomycin	Diaminopyrimidine	Elfamycin	Fluoroquinolone	Fosfomycin	Fusidic acid	Glycopeptide	MLS	Multidrug	Mupirocin	Nucleoside	Peptide	Phenicol	Pleuromutilin	Rifamycin	Sulfonamide	Tetracycline	Triclosan	All
d0_181384_RF	1434.418389	347.4309235	321.0240207	2.695447001	98.13602165	1.934947552	617.5068161	117.5269802	0.082003923	2281.637388	3498.301631	7293.125909	989.3587567	5.195085636	1632.380536	201.9332747	285.4156174	87.76754403	70.91616313	2530.483307	12.06390113	21829.33466
d0_181576_FE	1333.8768	292.6835195	340.8357889	0.762511305	132.4958082	0.602979406	588.9234983	142.3557073	0.010217113	2437.420973	3340.716401	6957.558122	930.274515	5.072322805	1627.187561	172.9209089	322.4016448	74.33952734	56.09462233	2680.228445	8.346513577	21445.10839
d0_181576_RF	1218.982807	231.9659723	275.4918071	1.892169718	125.0783268	1.113874024	470.1145755	94.60446825	0.228754357	1857.784995	2827.82041	5810.636748	851.6416806	3.235025049	1353.520609	169.6687475	282.0810761	70.94066617	69.95491199	2059.309695	14.1930974	17790.26042
d0_181661_FE	1261.770581	303.0807208	331.8262326	1.790653933	113.9273905	0.616274152	570.2780162	146.0259049	0.207658756	2383.853278	3478.767378	6848.010971	999.9728312	9.783472204	1698.835486	194.1725454	291.4289431	111.3685965	60.66711927	2654.927721	8.460823054	21469.7726
d0_181661_RF	1438.506457	305.7972471	318.3515806	2.110958342	111.0824627	1.911191064	595.5375923	119.4900367	0.218624864	2202.747184	3339.160476	6877.774873	961.1846269	5.552243007	1563.93056	194.035539	301.7530786	78.18875059	66.85581617	2518.329808	12.67645572	21015.19556
d0_181680_FE	1356.266032	303.5611814	373.2027463	0.993967005	142.7570324	0.831243845	569.6635789	156.0729466	0.418505703	2497.882302	3278.658834	7577.143946	1023.77748	7.219075331	1735.439312	173.0164573	381.6833191	54.04990487	89.60165267	2765.932983	17.15846837	22505.33097
d0_181680_RF	1445.502394	342.7195519	270.8581432	3.761765351	93.43750287	2.249467618	624.0327886	124.8390258	0.185825037	2201.698974	3293.066315	6758.445107	869.4984625	4.150725538	1531.579497	188.902595	237.601912	69.77854843	45.98786901	2422.838154	7.022722122	20538.15735
d0_181721_FE	1380.154711	312.5546864	404.050499	0.18233153	155.7074009	0.596951536	589.6811792	188.6491628	0.217070926	2462.498992	3362.968715	7841.586949	1029.623158	7.407517754	1659.403961	140.9661262	411.9588226	36.56969479	94.37547122	2816.841148	19.73414654	22915.7287
d0_181721_RF	1208.335452	324.4355048	277.0297701	1.065999136	100.8706472	0.364631816	507.9336884	113.4595017	0.087317199	2119.088919	3072.491571	6340.639986	888.1608696	3.158620184	1520.007584	183.4293166	271.9645756	68.48864636	66.91678402	2185.582161	11.34995108	19264.8615
d0_181779_FE	1343.575659	292.3949554	333.6242442	1.35650003	128.5788959	0.540150995	571.1148961	151.9188549	0.030071853	2426.101935	3260.34752	7263.455833	1038.69067	8.931224332	1592.442335	165.3220634	334.7955314	82.25321165	67.75965516	2690.357018	11.25573257	21764.84696
d0_181779_RF	1614.656293	368.5979828	311.6858408	2.972298859	87.16140849	2.36783162	698.4377495	148.0495957	0.077681859	2658.083569	3749.844143	7335.097736	1009.194964	4.385152953	1756.732123	214.9947691	267.2417443	79.17089016	34.67915618	2822.399915	2.678846385	23168.50969
d0_181784_FE	1216.983553	219.8974853	406.2749176	0.088760342	197.4192122	0.703498812	455.5128301	155.9969931	0.198289718	2126.791251	2713.761681	6977.948223	986.5020058	4.623707607	1622.875231	107.0467563	398.8104947	15.86460633	118.5648436	2411.696152	30.75886104	20168.31935
d0_181784_RF	1518.383799	342.0378192	289.2419844	3.454824537	88.56682891	2.979949991	671.7289973	136.7007555	0.23007212	2461.437795	3642.294982	7269.930014	1035.446137	5.890867135	1666.474889	235.8355045	252.6723232	112.3659112	47.20069615	2795.719387	3.92533862	22582.51888
d0_181870_FE	1373.022276	299.9274444	361.5344951	0.716914257	143.8960881	0.282498496	594.2957615	167.9987093	0	2542.197496	3338.431553	7665.978964	1093.7654	7.490854011	1714.666059	165.6459806	352.7087699	48.82307449	81.6906515	2824.802562	19.00383771	22796.87939
d0_181870_RF	1524.066887	362.866958	299.7058091	3.343834556	100.8257048	2.435208763	667.3677837	126.6165697	0.020853205	2270.773347	3525.533426	7397.615212	946.0408698	4.36696139	1574.00236	195.1579511	275.9058322	79.21943604	60.28819767	2611.756141	14.60639116	22042.51573
d0_182204_FE	1345.45546	276.0080554	406.318442	0.682100752	154.8151054	0.702754275	559.8175112	169.2244188	0.062986678	2497.472988	3223.153737	7667.547761	1025.802469	6.746353846	1703.614885	149.8359926	397.0898459	44.1850044	86.64781183	2755.465175	17.20474893	22487.85361
d0_182204_RF	1494.430672	319.0316118	313.4285205	4.157820733	106.2138873	3.243375717	592.5286808	120.6581673	0.162220396	2256.798097	3476.14084	7130.725474	1003.678699	4.278117462	1641.035447	198.7180281	278.5688371	99.51013868	72.67576364	2614.22857	12.50464872	21742.71762
d0_182343_FE	1300.327034	282.7031805	349.8668181	0.669705288	131.465376	0.929659193	568.5012177	133.8424423	0.291915827	2363.109241	3335.269382	6952.858938	959.2831693	7.004024041	1656.850962	178.1816195	333.5275816	82.85324952	70.43562542	2616.312601	10.87151865	21335.15526
d0_182343_RF	1375.425534	317.2198905	296.99987	1.645116508	107.8625513	0.339052009	583.4364769	115.880061	0.036751179	2258.601808	3146.386147	6208.218015	863.4007242	2.963419122	1499.471524	212.6336728	253.5432642	62.61649877	36.74124864	2308.940521	5.242899295	19657.60504
d0_182412_FE	1306.300923	288.8506933	344.8225189	0.691702452	138.1836244	0.71732516	553.0483413	147.8700329	0.020424259	2329.858273	3183.02126	7063.403321	1040.271133	9.111631242	1653.429611	162.5066794	336.5906686	66.67587492	75.54004007	2639.243371	12.6061401	21352.76359
d0_182412_RF	1499.067818	339.2975366	300.2250779	2.367551464	99.42570802	1.620355555	643.670271	125.4883056	0.139905291	2338.736129	3394.201047	6857.31077	962.2636358	6.657092727	1589.07061	207.9409129	254.4119852	78.39097255	38.50695354	2585.112032	5.91833369	21329.823
d0_182518_FE	1347.260529	289.2869966	375.5943422	0.869077648	142.9940452	1.190833126	557.0641689	159.162318	0.086690851	2411.144384	3229.884425	7647.47633	1078.383281	8.030272983	1663.920205	158.2707393	416.4120501	49.99580876	95.69925053	2709.501173	27.32798649	22369.55491
d0_182518_RF	1454.655194	322.3332633	288.7117392	2.093210301	93.44165086	0.486369086	609.6639121	123.3916172	0.0412619	2213.830324	3298.812196	6849.655473	941.0264597	4.035023049	1565.131162	189.4489641	246.1598137	71.32320558	51.28813423	2455.70062	11.28243316	20792.51203
d0_182668_FE	1368.542456	306.0024866	378.4067457	0.780633642	134.8684018	0.514396744	585.9354885	166.2534913	0.034436891	2501.028583	3367.176388	7668.413655	1073.610988	5.984985162	1712.120989	164.542633	346.3911661	62.18560879	76.97213071	2798.791639	15.26710114	22733.8244
d0_182668_RF	1357.141793	327.9498809	260.737054	1.257933882	80.52074122	0.120695348	596.7422614	113.1918697	0	2119.894104	3231.681397	6740.320009	848.526179	3.184106827	1499.921479	187.979037	233.0175721	79.34248259	50.90661796	2297.97167	15.84576231	20046.25265
d0_190938_FE	1379.720376	295.3267464	341.772049	0.621018796	139.1334794	0.3713	574.6705087	135.309514	0.017769752	2391.086859	3286.099776	7067.027827	982.8225378	4.693218108	1656.164249	176.507396	326.686504	66.59484652	72.85636804	2673.220612	11.70270432	21582.40566
d0_190938_RF	1083.350619	268.8513348	262.3074793	2.329257612	110.1101349	1.684648073	426.3843084	110.6015717	0.020675016	1980.97532	2731.718898	6255.244419	822.6360344	3.142018232	1464.954082	159.6781282	311.9979389	54.42098185	92.98386547	1995.548626	17.94628075	18156.88662
d0_191557_FE	1227.73053	278.2257344	378.4526301	1.30357521	143.5077386	0.532862927	553.5378712	134.421937	0.038479123	2385.987138	3392.090792	7294.241979	997.4257687	9.101490324	1705.207742	184.4305864	389.3766779	103.6401233	91.10510162	2649.439456	20.48612268	21940.28434
d0_191557_RF	1165.952193	264.4085561	262.1280012	1.169630087	140.8951056	0.173371517	440.012589	99.75093363	0.324156853	1812.021085	2712.239447	5965.430615	812.3132777	3.090484964	1369.988571	151.4642867	269.5953728	69.25597842	80.2048811	2009.051371	20.26898595	17649.73889
d0_191889_FE	1338.447547	302.5641262	331.4795722	1.449938438	117.5570034	0.622685531	590.3685678	153.6659343	0.105293491	2504.580804	3408.150089	7156.09933	1088.523641	6.159874319	1683.367961	192.421934	264.0203249	79.92111085	51.79997564	2701.752296	5.069710984	21978.12772
d0_191889_RF	1144.783115	254.9557874	258.4941478	1.708413172	116.1749534	0.39093257	420.3957136	102.1311176	0.171138189	1833.341119	2731.481131	6048.085872	804.983389	3.361669165	1389.368815	152.9825213	294.7186584	54.57626731	85.62518462	1912.913471	17.04027675	17627.68369
d0_192131_FE	1325.085004	285.9619657	370.0018608	1.240123784	149.0112468	0.956776095	560.6827976	146.7578059	0.04355448	2474.862722	3303.698845	7448.340048	1056.1979	7.183915566	1648.439168	162.8058913	367.2289534	63.97229461	79.66675503	2716.300705	19.28418015	22187.72251
d0_192131_RF	1034.140096	246.6477183	227.9822767	1.00369983	120.4469339	0.224331157	395.2143428	109.5284788	0	1787.295198	2490.250669	5964.035896	734.6797072	3.224043172	1289.869814	131.9713018	284.9381496	40.50303034	92.85063701	1794.288959	18.87907687	16767.97436
d0_192382_FE	1274.278994	272.2650165	330.4139376	1.285620631	142.739752	0.214913496	527.0369642	127.943641	0.117965335	2296.913202	3164.970891	6719.218185	925.2000028	4.56644969	1606.636714	171.8567588	360.7440507	70.87186457	81.25926099	2474.05443	14.31030361	20566.89892
d0_192382_RF	1224.164127	299.7867778	273.4110661	2.62361767	110.9572276	2.823795288	490.5285713	111.8155281	0.099817904	2060.587632	2867.841701	6102.631647	842.7206282	3.50566273	1464.414677	169.6140027	275.5482362	66.17970881	63.98564694	2178.989709	15.47805775	18627.70784
d0_192548_FE	1315.91012	271.3404095	367.9407673	0.962950441	147.5146677	0.768829649	545.5740322	140.668739	0	2286.898308	3153.904664	7125.465246	1022.974101	7.239151681	1625.684144	164.4186187	334.7774188	62.87411787	78.83208157	2627.14026	18.34176012	21299.23039
d0_192548_RF	1534.187949	323.5359467	303.3741355	7.282459382	119.6076766	9.114685936	630.2170017	141.4891348	0.064337189	2322.321769	3574.403963	7569.605592	943.2188756	5.929674201	1659.161063	193.728391	320.6349784	103.6314579	82.05352841	2634.021865	13.18774681	22490.77223
d0_192728_FE	1292.370824	267.1231051	333.6478641	1.942667929	128.0813004	0.55972006	565.1389764	138.2071142	0.084052351	2245.609863	3290.88527	6806.687228	983.4963531	6.348808325	1627.535581	175.0090733	320.8573743	94.20383657	68.42550337	2593.210543	12.32223661	20951.74729
d0_192728_RF	1441.954371	324.9090353	307.6093176	0.965858972	98.34083452	0.058251584	608.2516958	116.1820841	0.15697269	2251.59711	3367.125783	6926.833594	915.6284447	4.392783938	1582.310292	198.2734198	279.6271177	81.44143566	61.84361666	2484.100942	13.30989615	21064.91286
d0_192731_FE	1205.862896	278.6203031	340.0959936	0.840358355	132.6673237	1.125830635	544.9077778	141.9866398	0.179762484	2395.182228	3300.294621	6862.749287	994.9699383	9.873630613	1698.188969	178.400064	317.7061539	93.25207505	72.07334551	2529.598359	12.72148163	21111.29704
d0_192731_RF	1045.142661	259.2939833	240.9551863	0.650966644	143.1858526	0.440038735	396.9924796	96.09579363	0.161921059	1694.687427	2542.771279	5948.68093	791.5228475	2.734352566	1319.795291	127.6072418	281.8832007	47.03124645	88.74096575	1778.430715	18.59490384	16825.39928
